issue,sim_test_code,open_code,sim_sum_val,sim_span,open_sum_val,open_span,match_count,match_pos_count,sim_pattern_组三,sim_pattern_组六,sim_pattern_豹子,sim_bai,sim_shi,sim_ge
2002001,526,073,13,4,10,7,0,0,0,1,0,5,2,6
2002002,203,237,5,3,12,5,2,1,0,1,0,2,0,3
2002003,102,071,3,2,8,7,2,0,0,1,0,1,0,2
2002004,309,204,12,9,6,4,1,1,0,1,0,3,0,9
2002005,634,374,13,3,14,4,2,1,0,1,0,6,3,4
2002006,033,128,6,3,11,7,0,0,1,0,0,0,3,3
2002007,345,849,12,2,21,5,1,1,0,1,0,3,4,5
2002008,019,852,10,9,15,6,0,0,0,1,0,0,1,9
2002009,034,155,7,4,11,4,0,0,0,1,0,0,3,4
2002010,115,795,7,4,21,4,1,1,1,0,0,1,1,5
2002011,153,217,9,4,10,6,1,0,0,1,0,1,5,3
2002012,339,482,15,6,14,6,0,0,1,0,0,3,3,9
2002013,868,986,22,2,23,3,2,0,1,0,0,8,6,8
2002014,374,232,14,4,7,1,1,0,0,1,0,3,7,4
2002015,558,871,18,3,16,7,1,0,1,0,0,5,5,8
2002016,925,171,16,7,9,6,0,0,0,1,0,9,2,5
2002017,303,102,6,3,3,2,1,1,1,0,0,3,0,3
2002018,855,178,18,3,16,7,1,0,1,0,0,8,5,5
2002019,867,446,21,2,14,2,1,0,0,1,0,8,6,7
2002020,517,737,13,6,17,4,1,1,0,1,0,5,1,7
2002021,517,859,13,6,22,4,1,0,0,1,0,5,1,7
2002022,047,947,11,7,20,5,2,2,0,1,0,0,4,7
2002023,562,681,13,4,15,7,1,0,0,1,0,5,6,2
2002024,687,197,21,2,17,8,1,1,0,1,0,6,8,7
2002025,962,513,17,7,9,4,0,0,0,1,0,9,6,2
2002026,799,780,25,2,15,8,1,1,1,0,0,7,9,9
2002027,017,248,8,7,14,6,0,0,0,1,0,0,1,7
2002028,784,810,19,4,9,8,1,0,0,1,0,7,8,4
2002029,960,953,15,9,17,6,1,1,0,1,0,9,6,0
2002030,028,525,10,8,12,3,1,1,0,1,0,0,2,8
2002031,293,511,14,7,7,4,0,0,0,1,0,2,9,3
2002032,880,133,16,8,7,2,0,0,1,0,0,8,8,0
2002033,205,964,7,5,19,5,0,0,0,1,0,2,0,5
2002034,271,734,10,6,14,4,1,0,0,1,0,2,7,1
2002035,989,912,26,1,12,8,1,1,1,0,0,9,8,9
2002036,939,334,21,6,10,1,1,1,1,0,0,9,3,9
2002037,428,706,14,6,13,7,0,0,0,1,0,4,2,8
2002038,972,516,18,7,12,5,0,0,0,1,0,9,7,2
2002039,299,622,20,7,10,4,1,0,1,0,0,2,9,9
2002040,740,305,11,7,8,5,1,0,0,1,0,7,4,0
2002041,706,436,13,7,13,3,1,1,0,1,0,7,0,6
2002042,522,116,9,3,8,5,0,0,1,0,0,5,2,2
2002043,367,190,16,4,10,9,0,0,0,1,0,3,6,7
2002044,281,082,11,7,10,8,2,1,0,1,0,2,8,1
2002045,067,098,13,7,17,9,1,1,0,1,0,0,6,7
2002046,744,646,15,3,16,2,1,1,1,0,0,7,4,4
2002047,031,118,4,3,10,7,1,0,0,1,0,0,3,1
2002048,121,409,4,1,13,9,0,0,1,0,0,1,2,1
2002049,608,830,14,8,11,8,2,0,0,1,0,6,0,8
2002050,073,352,10,7,10,3,1,0,0,1,0,0,7,3
2002051,823,476,13,6,17,3,0,0,0,1,0,8,2,3
2002052,722,565,11,5,16,1,0,0,1,0,0,7,2,2
2002053,649,352,19,5,10,3,0,0,0,1,0,6,4,9
2002054,172,457,10,6,16,3,1,0,0,1,0,1,7,2
2002055,821,037,11,7,10,7,0,0,0,1,0,8,2,1
2002056,527,733,14,5,13,4,1,0,0,1,0,5,2,7
2002057,888,763,24,0,16,4,0,0,0,0,1,8,8,8
2002058,464,800,14,2,8,8,0,0,1,0,0,4,6,4
2002059,168,818,15,7,17,7,2,1,0,1,0,1,6,8
2002060,374,692,14,4,17,7,0,0,0,1,0,3,7,4
2002061,965,878,20,4,23,1,0,0,0,1,0,9,6,5
2002062,104,341,5,4,8,3,2,0,0,1,0,1,0,4
2002063,522,408,9,3,12,8,0,0,1,0,0,5,2,2
2002064,657,779,18,2,23,2,1,0,0,1,0,6,5,7
2002065,643,852,13,3,15,6,0,0,0,1,0,6,4,3
2002066,412,121,7,3,4,1,2,0,0,1,0,4,1,2
2002067,252,657,9,3,18,2,1,1,1,0,0,2,5,2
2002068,598,482,22,4,14,6,1,0,0,1,0,5,9,8
2002069,526,874,13,4,19,4,0,0,0,1,0,5,2,6
2002070,060,933,6,6,15,6,0,0,1,0,0,0,6,0
2002071,192,830,12,8,11,8,0,0,0,1,0,1,9,2
2002072,226,222,10,4,6,0,1,2,1,0,0,2,2,6
2002073,755,708,17,2,15,8,1,1,1,0,0,7,5,5
2002074,769,319,22,3,13,8,1,1,0,1,0,7,6,9
2002075,990,276,18,9,15,5,0,0,1,0,0,9,9,0
2002076,751,867,13,6,21,2,1,0,0,1,0,7,5,1
2002077,980,239,17,9,14,7,1,0,0,1,0,9,8,0
2002078,547,273,16,3,12,5,1,0,0,1,0,5,4,7
2002079,616,132,13,5,6,2,1,0,1,0,0,6,1,6
2002080,262,443,10,4,11,1,0,0,1,0,0,2,6,2
2002081,106,556,7,6,16,1,1,1,0,1,0,1,0,6
2002082,385,460,16,5,10,6,0,0,0,1,0,3,8,5
2002083,809,315,17,9,9,4,0,0,0,1,0,8,0,9
2002084,214,083,7,3,11,8,0,0,0,1,0,2,1,4
2002085,044,106,8,4,7,6,1,0,1,0,0,0,4,4
2002086,758,299,20,3,20,7,0,0,0,1,0,7,5,8
2002087,570,283,12,7,13,6,0,0,0,1,0,5,7,0
2002088,124,775,7,3,19,2,0,0,0,1,0,1,2,4
2002089,963,956,18,6,20,4,2,1,0,1,0,9,6,3
2002090,481,553,13,7,13,2,0,0,0,1,0,4,8,1
2002091,329,360,14,7,9,6,1,1,0,1,0,3,2,9
2002092,407,435,11,7,12,2,1,1,0,1,0,4,0,7
2002093,875,218,20,3,11,7,1,0,0,1,0,8,7,5
2002094,141,283,6,3,13,6,0,0,1,0,0,1,4,1
2002095,933,786,15,6,21,2,0,0,1,0,0,9,3,3
2002096,562,427,13,4,13,5,1,0,0,1,0,5,6,2
2002097,834,155,15,5,11,4,0,0,0,1,0,8,3,4
2002098,569,159,20,4,15,8,2,1,0,1,0,5,6,9
2002099,719,913,17,8,13,8,2,1,0,1,0,7,1,9
2002100,004,635,4,4,14,3,0,0,1,0,0,0,0,4
2002101,312,224,6,2,8,2,1,0,0,1,0,3,1,2
2002102,275,012,14,5,3,2,1,0,0,1,0,2,7,5
2002103,380,088,11,8,16,8,2,1,0,1,0,3,8,0
2002104,748,818,19,4,17,7,1,1,0,1,0,7,4,8
2002105,189,933,18,8,15,6,1,0,0,1,0,1,8,9
2002106,407,287,11,7,17,6,1,1,0,1,0,4,0,7
2002107,304,314,7,4,8,3,2,2,0,1,0,3,0,4
2002148,299,793,20,7,19,6,1,1,1,0,0,2,9,9
2002149,740,094,11,7,13,9,2,0,0,1,0,7,4,0
2002150,706,490,13,7,13,9,1,0,0,1,0,7,0,6
2002151,522,396,9,3,18,6,0,0,1,0,0,5,2,2
2002152,367,992,16,4,20,7,0,0,0,1,0,3,6,7
2002153,281,909,11,7,18,9,0,0,0,1,0,2,8,1
2002154,067,835,13,7,16,5,0,0,0,1,0,0,6,7
2002155,744,557,15,3,17,2,1,0,1,0,0,7,4,4
