issue,date,sim_code,focus_code,gold_code,open_code
2025168,2025-06-27,879,68,2,514
2025169,2025-06-28,422,64,1,978
2025170,2025-06-29,965,76,1,475
2025171,2025-06-30,983,50,7,113
2025172,2025-07-01,360,89,1,406
2025173,2025-07-02,759,47,8,092
2025174,2025-07-03,881,97,2,533
2025175,2025-07-04,240,71,6,616
2025176,2025-07-05,636,52,9,122
2025177,2025-07-06,698,71,3,497
2025178,2025-07-07,309,72,6,728
2025179,2025-07-08,823,87,6,280
2025180,2025-07-09,657,72,8,260
2025181,2025-07-10,530,18,7,886
2025182,2025-07-11,151,21,9,708
2025183,2025-07-12,514,80,7,744
2025184,2025-07-13,727,98,6,799
2025185,2025-07-14,097,41,8,164
2025186,2025-07-15,782,78,9,227
