issue,pred_code,true_code,hit
2025017,031,310,0
2025018,532,631,0
2025019,968,986,0
2025020,981,219,0
2025021,666,885,0
2025022,008,108,0
2025023,658,865,0
2025024,724,724,1
2025025,116,173,0
2025026,244,342,0
2025027,880,812,0
2025028,700,951,0
2025029,894,349,0
2025030,146,461,0
2025031,565,655,0
2025032,941,429,0
2025033,700,071,0
2025034,636,337,0
2025035,514,612,0
2025036,422,452,0
2025037,302,230,0
2025038,077,707,0
2025039,337,753,0
2025040,200,051,0
2025041,770,870,0
2025042,266,606,0
2025043,132,832,0
2025044,797,796,0
2025045,855,593,0
2025046,010,170,0
2025047,292,922,0
2025048,544,445,0
2025049,949,694,0
2025050,660,036,0
2025051,438,954,0
2025052,112,192,0
2025053,164,461,0
2025054,687,668,0
2025055,114,607,0
2025056,304,403,0
2025057,888,288,0
2025058,301,750,0
2025059,234,423,0
2025060,199,911,0
2025061,522,256,0
2025062,066,016,0
2025063,998,869,0
2025064,466,646,0
2025065,918,519,0
2025066,000,905,0
2025067,968,698,0
2025068,089,392,0
2025069,181,185,0
2025070,110,116,0
2025071,777,277,0
2025072,910,091,0
2025073,707,704,0
2025074,373,743,0
2025075,606,260,0
2025076,084,841,0
2025077,717,157,0
2025078,881,921,0
2025079,662,337,0
2025080,678,687,0
2025081,501,510,0
2025082,009,690,0
2025083,555,255,0
2025084,265,162,0
2025085,466,054,0
2025086,759,975,0
2025087,002,502,0
2025088,113,163,0
2025089,666,635,0
2025090,446,744,0
2025091,626,620,0
2025092,222,972,0
2025093,444,844,0
2025094,997,789,0
2025095,658,586,0
2025096,116,661,0
2025097,642,462,0
2025098,000,105,0
2025099,277,427,0
2025100,416,261,0
2025101,817,187,0
2025102,712,272,0
2025103,457,574,0
2025104,333,323,0
2025105,931,931,1
2025106,306,630,0
2025107,877,057,0
2025108,380,308,0
2025109,398,239,0
2025110,666,866,0
2025111,147,841,0
2025112,451,215,0
2025113,066,713,0
2025114,033,032,0
2025115,019,901,0
2025116,736,327,0
2025117,911,191,0
2025118,360,063,0
2025119,555,554,0
2025120,791,087,0
2025121,955,985,0
2025122,847,478,0
2025123,627,727,0
2025124,856,684,0
2025125,900,409,0
2025126,021,201,0
2025127,770,570,0
2025128,272,724,0
2025129,000,006,0
2025130,148,821,0
2025131,166,166,1
2025132,999,892,0
2025133,030,013,0
2025134,199,680,0
2025135,533,235,0
2025136,756,276,0
2025137,073,037,0
2025138,343,374,0
2025139,164,416,0
2025140,768,786,0
2025141,412,421,0
2025142,969,962,0
2025143,557,758,0
2025144,083,308,0
2025145,222,842,0
2025146,310,630,0
2025147,971,169,0
2025148,566,562,0
2025149,981,915,0
2025150,686,966,0
2025151,990,093,0
2025152,722,227,0
2025153,469,649,0
2025154,799,719,0
2025155,877,708,0
2025156,137,371,0
2025157,998,085,0
2025158,446,664,0
2025159,199,891,0
2025160,700,017,0
2025161,099,904,0
2025162,555,554,0
2025163,040,240,0
2025164,113,341,0
2025165,883,838,0
2025166,600,064,0
2025167,567,137,0
